Channel_name,Total_subscribers,Country,Potential_reach
T-Series,234000000,India,70200000
Cocomelon - Nursery Rhymes,144000000,United States,43200000
SET India,139000000,India,41700000
PewDiePie,111000000,United States,33299999
MrBeast,100000000,United States,30000000
Like Nastya,97300000,United States,29200000
✿ Kids Diana Show,94200000,Unknown,28300000
Zee Music Company,91400000,India,27400000
WWE,91200000,Unknown,27400000
Vlad and Niki,84300000,United States,25300000
BLACKPINK,82000000,South Korea,24600000
Goldmines,72000000,India,21600000
Justin Bieber,69700000,Canada,20900000
Sony SAB,69200000,India,20800000
BANGTANTV,68600000,Unknown,20600000
HYBE LABELS,68100000,South Korea,20400000
Canal KondZilla,66300000,Brazil,19900000
Zee TV,64000000,India,19200000
Shemaroo Filmi Gaane,61100000,India,18300000
Colors TV,59200000,India,17800000
ChuChu TV Nursery Rhymes & Kids Songs,58700000,India,17600000
Dude Perfect,58600000,United States,17600000
Movieclips,58500000,United States,17600000
Pinkfong Baby Shark - Kids' Songs & Stories,56900000,Unknown,17100000
Tips Official,56500000,India,17000000
Marshmello,55800000,United States,16700000
Wave Music,55600000,India,16700000
Sony Music India,55300000,India,16600000
Aaj Tak,54000000,India,16200000
El Reino Infantil,52900000,Unknown,15900000
Ed Sheeran,52300000,Unknown,15700000
Ariana Grande,52200000,Unknown,15700000
EminemMusic,51700000,Unknown,15500000
T-Series Bhakti Sagar,49900000,Unknown,15000000
LooLoo Kids - Nursery Rhymes and Children's Songs,49400000,United States,14800000
YRF,48400000,India,14500000
Taylor Swift,47200000,Unknown,14200000
Fernanfloo,47100000,El Salvador,14100000
Infobells - Hindi,46600000,India,14000000
Billie Eilish,46600000,United States,14000000
JuegaGerman,46400000,Chile,13900000
Badabun,45700000,Mexico,13700000
Felipe Neto,44400000,Brazil,13300000
Get Movies,44300000,Russia,13300000
whinderssonnunes,43700000,Unknown,13100000
SonyMusicIndiaVEVO,43600000,Unknown,13100000
BRIGHT SIDE,43400000,Unknown,13000000
Katy Perry,43100000,United States,12900000
Bad Bunny,43100000,Puerto Rico,12900000
Você Sabia?,43000000,Brazil,12900000
Alan Walker,42400000,Norway,12700000
Like Nastya Show,41700000,United States,12500000
CarryMinati,41600000,India,12500000
ABS-CBN Entertainment,41500000,Philippines,12500000
Shemaroo,41200000,India,12400000
Speed Records,41100000,India,12300000
elrubiusOMG,40400000,Unknown,12100000
Little Baby Bum - Nursery Rhymes & Kids Songs,40000000,United States,12000000
Voot Kids,39300000,India,11800000
Маша и Медведь,39100000,Russia,11700000
LUCCAS NETO - LUCCAS TOON,38600000,Brazil,11600000
Luisito Comunica,38500000,Unknown,11600000
Ishtar Music,38500000,India,11600000
TheEllenShow,38300000,United States,11500000
Toys and Colors,38300000,United States,11500000
Kimberly Loaiza,38100000,Mexico,11400000
WorkpointOfficial,38100000,Thailand,11400000
XXXTENTACION,37800000,United States,11300000
Super Simple Songs - Kids Songs,37300000,Canada,11200000
Shakira,37100000,Unknown,11100000
GR6 EXPLODE,37100000,Unknown,11100000
Daddy Yankee,37000000,United States,11100000
shfa,36100000,United Arab Emirates,10800000
ช่อง one31,35900000,Thailand,10800000
shfa2 - شفا,35600000,United Arab Emirates,10700000
Goldmines Gaane Sune Ansune,35600000,India,10700000
TEDx Talks,35500000,Unknown,10700000
Ozuna,35200000,Puerto Rico,10600000
YouTube,35100000,United States,10500000
Masha and The Bear,35100000,United States,10500000
Bruno Mars,34800000,Unknown,10400000
Jkk Entertainment,34500000,Unknown,10400000
Maria Clara & JP,33800000,Brazil,10100000
T-Series Apna Punjab,33600000,India,10100000
Total Gaming,33600000,India,10100000
J Balvin,33600000,Colombia,10100000
ABP NEWS,33500000,India,10100000
VEGETTA777,33500000,Unknown,10100000
Markiplier,33500000,United States,10100000
Desi Music Factory,33000000,India,9900000
NoCopyrightSounds,32900000,United Kingdom,9900000
Geet MP3,32700000,Unknown,9800000
Ryan's World,32700000,Unknown,9800000
Bollywood Classics,32700000,India,9800000
Sony PAL,32600000,Unknown,9800000
Like Nastya ESP,32500000,Unknown,9800000
La Granja de Zenón,32299999,Argentina,9700000
Alfredo Larin,32299999,El Salvador,9700000
Mikecrack,32200000,Spain,9700000
Saregama Music,32100000,India,9600000
